A01	A02	A03	A04	A05	A06	A07	B01	B02	B03	B04	B05	B06	B07	C01	C02	C03	C04	C05	C06	D01	D02	D03	D04	D05	D06	E01	E02	E03	E04	E05	E06	F01	F02	F03	F04	F05	F06	G01	G02	G03	G04	G05	G06	H01	H02	H03	H04	H05	H06
19a7bf673c93911f1325978fde249fe1	0	0	0	0	0	9	0	0	0	0	0	0	6537	12247	0	0	0	0	0	3352	0	0	0	0	0	6842	0	0	0	0	0	6576	0	0	0	0	0	18383	0	0	0	0	0	115	0	0	0	0	0	902
c4907ab53afb1a906add691db8acff0b	0	25576	0	0	0	0	0	0	17186	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9f490005dc270f77674c4c3b1a158b20	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	3769	0	0	0	0	0	18752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b492532669ec522fe0723d03c8ea5e4f	80	0	0	0	0	0	0	2	0	0	0	0	0	0	112	0	0	6	6894	0	0	0	0	0	124	0	131	0	0	0	6865	0	18	0	0	0	627	0	144	0	0	3503	1407	0	25	0	0	39	477	0
e73f717c558a68d9265413a2611689c7	0	0	0	0	631	612	4061	0	0	0	0	0	1456	2608	0	0	0	0	0	1956	0	0	0	0	0	1401	0	0	0	0	0	1256	0	0	0	0	0	805	0	0	0	0	0	1570	0	0	0	0	0	1213
71b5e78241e507627a032cedfadfaa22	8	0	0	0	0	0	0	0	0	19	0	0	0	0	0	13	0	0	58	0	18	148	0	0	1470	0	0	0	79	0	550	0	0	0	118	0	6676	0	0	0	0	252	52	0	0	134	75	108	6060	0
7371a74be1805fe6717ac889ac8159f6	0	0	0	0	440	351	2142	0	0	0	0	0	710	1241	0	0	0	0	0	1869	0	0	0	0	0	1816	0	0	0	0	0	1551	0	0	0	0	0	912	0	0	0	0	0	2220	0	0	0	0	0	2033
886de4307a97f4ee1a5be58c61c80fac	1630	6	0	0	0	0	0	41	0	0	0	0	0	0	2514	0	0	0	0	0	25	0	0	0	0	0	4968	0	0	0	0	0	265	0	0	0	0	0	4115	0	0	0	0	0	130	0	0	0	0	0
85cd0a8ae0cb0700bbabe763ac180d02	0	0	0	0	0	0	0	0	0	0	0	11628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	0	0	0	0	0	0	0	0	0	7	0	0	0
bb81afc961003678fb1cd654aabd8e0a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	4660	0	0	0	0	0	0	0	0	0	0	0	1224	0	0	0	0	116	21	0	0	0	0	3854	1487	0
7fc0abcc6056e6ed3967fcf846398071	297	0	0	0	0	0	0	4152	0	0	0	0	0	0	278	0	0	71	248	0	171	0	0	0	738	0	58	0	0	0	285	0	255	0	0	0	1742	0	33	0	0	0	206	0	191	0	0	983	424	0
59d6ebde9d093802e249924c6a5f7180	0	0	18	226	0	0	0	0	0	40	35	0	0	0	0	2307	98	0	0	0	0	4000	379	158	0	0	0	923	19	182	0	0	0	140	12	0	0	0	0	60	71	0	0	0	0	0	11	6	0	0
f60eca316312205d661c3460198e2438	0	0	0	0	57	69	1653	0	0	0	0	0	191	1543	0	0	0	0	0	563	0	0	0	0	0	262	0	0	0	0	0	279	0	0	0	0	0	500	0	0	0	0	0	1264	0	0	0	0	0	2184
dbe5e5f91e15f425e889fdcfd8bc2757	397	17	0	79	0	0	0	19	10	0	20	0	0	0	1710	0	0	65	0	0	57	0	0	10	0	0	1846	0	18	469	0	0	223	0	22	0	0	0	2726	0	400	0	0	0	445	0	21	0	0	0
b17736274511b40e30f42b2e6f1ef95e	2157	0	0	0	0	0	0	165	0	0	0	0	0	0	2800	0	0	0	0	0	54	0	0	0	0	0	1282	0	0	0	0	0	149	0	0	0	0	0	1701	0	0	0	0	0	147	0	0	0	0	0
217555ff44ace04eecf8e4208a5d48d0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	7114	0	0	0	0	0	91	0	0	0	0	25	578	0	0	0	0	311	54	0	0	0	0	5	8	0
4439a48d16175925212dba5b473b4512	0	0	980	0	0	0	0	0	0	0	0	0	0	0	0	2703	588	0	0	0	0	77	94	0	0	0	0	2040	0	0	0	0	0	92	0	0	0	0	0	1012	0	0	0	0	0	31	0	0	0	0
d2bc07ab394914f6fd10a0dbd95520e7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	36	16	0	0	0	0	0	1644	0	0	0	0	0	0	0	0	0	0	0	610	0	0	0	0	685	0	0	0	0	0	1436	2989	0
ff72c1cf272edb921150faf3f0e64a44	0	0	64	0	0	0	0	0	0	522	0	0	0	0	0	1004	0	0	0	0	0	5502	0	0	0	0	0	46	0	0	0	0	0	22	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0
743db54c3932df2347a32cc364445bbb	0	119	0	0	0	0	0	0	6964	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0
a343183dd9debbc17c3a687b8c18c358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	0	0	0	0	0	5393	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	601	0	0	0	0	0
ab3f29f991e954a817591ac355947a20	0	0	91	0	0	0	0	0	0	22	0	0	0	0	0	3708	113	0	0	0	0	474	42	0	0	0	0	1800	0	0	0	0	0	37	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0
90350b8b37b7fddfdae97f7deaa8eac4	0	0	170	0	0	0	0	0	0	350	0	0	0	0	0	2015	405	0	0	0	0	587	1208	0	0	0	0	287	0	0	0	0	0	73	0	0	0	0	0	454	0	0	0	0	0	212	0	0	0	0
fd9a839d8c2d76411279620e6cd58238	229	0	0	34	0	0	0	21	0	0	176	0	0	0	768	0	0	0	0	0	0	0	0	37	0	0	969	0	0	523	0	0	66	0	0	0	0	0	1391	0	989	0	0	0	172	0	181	0	0	0
